Make,Type,Asset Code,Category,Sub-Category,Model Number,Serial No.
Compaq ,Windows PC,PNT/PDW/117,Accessories,Computers,"Compaq Presario CQ 57 (15"")",
Compaq ,Windows PC,PNT/PDW/644,Accessories,Computers,"Compaq Presario CQ 57 (15"")",YIDQS-ZXC-PHK-QLM
Acer Chromebook ,Windows PC,PNT/TRT/644,Accessories,Computers,C710 Series,CJXNIKERFTE
Acer Chromebook ,Windows PC,PNT/TRT/793,Accessories,Computers,C710 Series,IVGSKYXZHTD
Acer Chromebook ,Windows PC,PNT/TRT/337,Accessories,Computers,C710 Series,SJKTIOKZWUH
Lenovo,Windows PC,,Accessories,Computers,Lenovo G50-80,25I368R3
Lenovo ,Windows PC,,Accessories,Computers,Lenovo G50-80,61KZH2W5
Asus ,Windows PC,PNT/EWSI/81,Accessories,Computers,Asus F450 Ci3-4010U,9F8D49UE8GDMYUX
Asus ,Windows PC,PNT/EWSI/17,Accessories,Computers,Asus F450 Ci3-4010U,1V4A63WY6NKVZWA
Asus ,Windows PC,PNT/EWSI/95,Accessories,Computers,Asus F450 Ci3-4010U,6N3A12CI6HWKMX5
Asus ,Windows PC,PNT/EWSI/35,Accessories,Computers,Asus F450 Ci3-4010U,8Y4F93ZR5XBPIU6
Asus ,Windows PC,PNT/EWSI/27,Accessories,Computers,Asus F450 Ci3-4010U,1X3C12NP1SKLIQL
Lenovo ,Windows PC,PNT/GCXF/32,Accessories,Computers,Lenovo E460-20ET-000DUE,21N1Q7M3
Logitech,Webcam,PNT/QSUR/793,Accessories,Audio Visual Equipment,Logitech C930E,UBYS71W88973
Logitech,Webcam,PNT/QSUR/337,Accessories,Audio Visual Equipment,Logitech C930E,DQPP15B4389K
Logitech,Webcam,PNT/QSUR/737,Accessories,Audio Visual Equipment,Logitech C930E,ZAIH61M88BZU
Samsung ,USB Travel Charger ,,Accessories,Electrical Accessories,,
Macbook Pro,Macbook,VLQ/PL/521728,Accessories,Computers,,6ZE2K13C168D
Macbook Pro,Macbook,VLQ/PL/761587,Accessories,Computers,,9KCA46B34184Z
Macbook Pro,Macbook,VLQ/PL/737166,Accessories,Computers,,3YG64O17434G
Macbook Pro,Macbook,PNT/REDL/27,Accessories,Computers,MF839,8BB8571B185M
Macbook Pro,Macbook,PNT/REDL/81,Accessories,Computers,MF839,1VH521S5352M
Macbook Pro,Macbook,PNT/REDL/17,Accessories,Computers,MF839,1SK33L77614C
Macbook Pro,Macbook,PNT/REDL/95,Accessories,Computers,MF839,7WC95169447M
Macbook Pro,Macbook,PNT/REDL/35,Accessories,Computers,MF839,6BR2246X819Z
Macbook Pro,Macbook,PNT/REDL/98,Accessories,Computers,MF839,9MO22319421X
Macbook Pro,Macbook,PNT/REDL/15,Accessories,Computers,MF839,6TS76E2E418S
Macbook Pro,Macbook,PNT/REDL/44,Accessories,Computers,MF839,9XC22353279H
Amazon,Tablet ,,Accessories,Interent and Communication Devices,SV98LN,
Amazon,Tablet ,,Accessories,Interent and Communication Devices,SV98LN,3P9N7THQESVDLE3V
Amazon,Tablet ,,Accessories,Interent and Communication Devices,SV98LN,4M2J9FPJNJZKOCU5
Amazon,Tablet ,,Accessories,Interent and Communication Devices,SV98LN,8G7B7TOWSNBBTWD6
Samsung,Phone,PNT/AW/27,Accessories,Interent and Communication Devices,Samsung GT-E1205Y-KeyStone,APGLSXELMCCADAK
Tecno,Phone,PNT/AW/81,Accessories,Interent and Communication Devices,Tecno T340,VUGMEERRJRXHPVU
Samsung,Phone,PNT/AW/17,Accessories,Interent and Communication Devices,Samsung GT-E1205Y-KeyStone,ODQFMYGXAFSBAJW
Samsung,Phone,PNT/AW/95,Accessories,Interent and Communication Devices,Samsung GT-E1205Y-KeyStone,AIYYFULHGGHQURV
Samsung,Phone,PNT/AW/35,Accessories,Interent and Communication Devices,Galaxy Ace 4,UAPIQI/KG/YTVNCK/T
Samsung,Phone,PNT/AW/98,Accessories,Interent and Communication Devices,Galaxy Ace 4,RNSZNF/OR/SDKTMZ/Q
Samsung,Phone,PNT/AW/15,Accessories,Interent and Communication Devices,Galaxy Ace 4,UIOOMU/LJ/RGMSKT/Y
Tecno C5,Phone,PNT/AW/77,Accessories,Interent and Communication Devices,Camon C5,LONEHCJCEJDLNQA/IOWTKNYBKTKYFWE
Infinix,Phone,PNT/AW/64,Accessories,Interent and Communication Devices,Hotnote X551,PCXYFEQDPDFDIZG/XXJSMOMHRIDSBVH
Nokia ,Phone,PNT/AW/92,Accessories,Interent and Communication Devices,Lumia 640 XL,HRCZRMBWNSREESN/ YQVPZOROKODUSLE
Logitech,Mouse,PNT/BPZ/27,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/81,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/17,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/95,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/35,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/98,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/15,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/44,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/72,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/11,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/78,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/77,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/64,Accessories,Computer accessories,Logitech Combo Pack,
Logitech,Mouse,PNT/BPZ/34,Accessories,Computer accessories,Logitech Combo Pack,
HP,Monitors ,PNT/JZZVEYD/27,Accessories,Computers,,S55KFON257
HP,Monitors ,PNT/JZZVEYD/81,Accessories,Computers,,U98EZRC778
HP,Monitors ,PNT/JZZVEYD/17,Accessories,Computers,,Y15GKEX176
HP,Monitors ,PNT/JZZVEYD/95,Accessories,Computers,,M99BHEC928
Airtel,MIFI,PNT/DNIO/44,Accessories,Interent and Communication Devices,,
Airtel,MIFI,PNT/DNIO/72,Accessories,Interent and Communication Devices,,
Airtel,MIFI,PNT/DNIO/11,Accessories,Interent and Communication Devices,,
Apple,Magic Mouse,,Accessories,Computer accessories,,13MCCXPXY3144584
Apple,Magic Keyboard,,Accessories,Computer accessories,,5J9DCDFKA667Y113C
"New Macbook Pro, 15 inch Charger",Macbook Charger,,Accessories,Computer accessories,,8VXQFMNS14675T47F
Logitech,Logitech Laser Pointer,PNT/AF/27,Accessories,,Logitech,18ZAF48
Logitech,Logitech Laser Pointer,PNT/AF/81,Accessories,Computer accessories,Logitech,
Logitech,Logitech Laser Pointer,PNT/AF/17,Accessories,Computer accessories,Logitech,
Logitech wireless Keyboard,Keyboards,PNT/KIJ/27,Accessories,Computer accessories,Logitech Combo Pack,
Logitech wireless Keyboard,Keyboards,PNT/KIJ/81,Accessories,Computer accessories,Logitech Combo Pack,
iPhone,Phone ,,Accessories,Other,A1688,1HM948Y81241
iPhone,Phone ,,Accessories,Other,A1633,13246IK89949
iPhone,Phone ,,Accessories,Other,MNAC2LL/A,9SA41SOK97R7
iPhone,Phone ,,Accessories,Other,MNAC2LL/A,5J139O8146V9
iPhone,Phone ,,Accessories,Other,MNAC2LL/A,6T784GF152J7
iPhone,Phone ,,Accessories,Other,MNAC2LL/A,3X15799Z49Y3
iPhone,Phone ,,Accessories,Other,MN9D2LL/A,9SC3JG1Z86J6
iPhone,Phone ,,Accessories,Other,MN9D2LL/A,6ZH8B4K219O1
iPhone,Phone ,,Accessories,Other,MN8G2LL/A,6667QP7587F2
Microsoft,Headsets,PNT/MH/6597,Accessories,Computer accessories,Microsoft Lifechat LX-6000,
Microsoft,Headsets,PNT/MH/9983,Accessories,Computer accessories,Microsoft Lifechat LX-6000,
Microsoft,Headsets,PNT/MH/8115,Accessories,Computer accessories,Microsoft Lifechat LX-6000,
Microsoft,Headsets,PNT/MH/4466,Accessories,Computer accessories,Microsoft Lifechat LX-6000,
Microsoft,Headsets,PNT/MH/5485,Accessories,Computer accessories,Microsoft Lifechat LX-6000,
Sades Gaming Headsets ,Headsets,,Accessories,Computer accessories,Sades Gaming Headsets SA- 708GT,41ECW7OFGCSYWFAV
Sades Gaming Headsets ,Headsets,,Accessories,Computer accessories,Sades Gaming Headsets SA- 708GT,46VVG6CLMNDJL8TE
Sades Gaming Headsets ,Headsets,,Accessories,Computer accessories,Sades Gaming Headsets SA- 708GT,96BKM6FSEQWVSKNL
Sades Gaming Headsets ,Headsets,,Accessories,Computer accessories,Sades Gaming Headsets SA- 708GT,62AWY6OJDWDTSYTJ
Sades Gaming Headsets ,Headsets,,Accessories,Computer accessories,Sades Gaming Headsets SA- 708GT,44CMJ9JIHKLKKCRC
Sades Gaming Headsets ,Headsets,,Accessories,Computer accessories,Sades Gaming Headsets SA- 708GT,19DPS3DRVFSFGMUC
Eaton UPS,UPS,VLQ,Electronics,Electrical Accessories,EATON 5E 1500VA,2LBK8MWNKO
HP,Monitor,,Electronics,Audio Visual Equipment,HP 27es,P83YDMQM7Z
HP,Monitor,,Electronics,Audio Visual Equipment,HP 27es,J91OXYTM12
HP,Monitor,,Electronics,Audio Visual Equipment,HP 27es,Z53ULWIP7O
